asset_number,title,original_department,added_department
914,VWR P1000 Pipette,,
915,Eppendorf Repeater Plus,,
916,VWR 100-1000 uL Pipette,FORM,
917,VWR 2-20 uL Pipette,FORM,
921,VWR 20-200 uL Pipette,,
922,VWR 2-20 uL Pipette,,
923,VWR 100-1000 uL Pipette,,
924,VWR 2-20 uL Pipette,,
925,VWR 100-1000 uL Pipette,,
926,VWR 20-200 uL Pipette,,
927,Eppendorf 0.1-2.5 uL Pipette,,
930,Eppendorf 10-100 uL Pipette,,
932,Eppendorf 100-1000 uL Pipette,,
934,Eppendorf 0.5-10 uL Pipette,AD,
935,VWR 2-20 uL Pipette,,
936,VWR Multi-Channel Pipette,PD,
937,VWR 0.1-2 uL Pipette,,
938,VWR P200 Pipette,,
939,VWR P20 Pipette,,
940,VWR P1000 Pipette,,
941,VWR 0.5-10 uL Pipette,,
942,VWR 0.1-2 uL Pipette,BD,
944,Tecan Infinite M200 Luminometer,BD,
945,Revco -20°C Freezer,QC,
946,Revco -80°C Freezer,QC,
949,Binder Temperature Conrolled Incubator,QC,
952,Cedex,,
959,Centrifuge,QC,
960,ASTM Weight Set,BD,
962,VWR Digital Water Bath,BD,
967,Biohit 12-Channel Pipettor,BD,
969,,PD,
970,Biohit Pipette 5-100 uL,BD,
971,Biohit Pipette 30-300 uL,BD,
972,Biohit Pipette 0.5-10 uL,BD,
974,Biohit Pipette 20-200 uL,BD,
975,Biohit Pipette 100-1000 uL,BD,
976,EMD Air Sampler,QC,
977,Climet Non-Viable Air Particle Counter,QC,
978,EMD Air Sampler,QC,
979,Milliflex Pump,QC,
980,EMD Viable Air Sampler,QC,
981,EMD Viable Air Sampler,QC,
